iter=2150,loss=0.062177,psnr=24.127355
iter=2160,loss=0.062629,psnr=24.064550
iter=2170,loss=0.063025,psnr=24.009710
iter=2180,loss=0.063352,psnr=23.964731
iter=2190,loss=0.062408,psnr=24.095239
iter=2200,loss=0.061629,psnr=24.204356
iter=2210,loss=0.061004,psnr=24.292785
iter=2220,loss=0.060483,psnr=24.367301
iter=2230,loss=0.060577,psnr=24.353916
iter=2240,loss=0.060812,psnr=24.320188
iter=2250,loss=0.061099,psnr=24.279305
iter=2260,loss=0.060667,psnr=24.340902
iter=2270,loss=0.060388,psnr=24.381005
iter=2280,loss=0.060572,psnr=24.354550
iter=2290,loss=0.059781,psnr=24.468667
